year,neighborhood,sale_price_sqr_foot,housing_units,gross_rent
2016,Presidio Heights,1465.9685863874345,384242,4390
2016,Merced Heights,1416.6666666666667,384242,4390
2016,Parnassus/Ashbury Heights,1207.997484708169,384242,4390
2016,Outer Richmond ,1196.645436923929,384242,4390
2016,Cow Hollow,1059.0656015492618,384242,4390
2016,Eureka Valley/Dolores Heights,1026.7911075237505,384242,4390
2016,Russian Hill,1024.3398771365155,384242,4390
2016,Pacific Heights,996.3893635634032,384242,4390
2016,Bernal Heights ,986.842105263158,384242,4390
2016,Twin Peaks,970.08547008547,384242,4390
2015,Union Square District,2258.702831998355,382295,3739
2015,Marina,1132.8373605554543,382295,3739
2015,Corona Heights,1100.7911936704506,382295,3739
2015,Telegraph Hill,996.9902204858652,382295,3739
2015,Yerba Buena,963.5226061641274,382295,3739
2015,Lone Mountain,918.2882682038704,382295,3739
2015,Pacific Heights,910.1876901656898,382295,3739
2015,North Waterfront,890.9095931764136,382295,3739
2015,Potrero Hill,821.3009904764873,382295,3739
2015,Lower Pacific Heights,800.0388650775141,382295,3739
2014,Miraloma Park,1267.7662026328828,380348,3528
2014,South of Market,1119.8388773148029,380348,3528
2014,Potrero Hill,1045.2015459222662,380348,3528
2014,Corona Heights,888.1821435177138,380348,3528
2014,Pacific Heights,824.6586936349588,380348,3528
2014,Parnassus/Ashbury Heights,773.4061347806704,380348,3528
2014,Westwood Park,742.9797231632552,380348,3528
2014,Eureka Valley/Dolores Heights,728.9797158498742,380348,3528
2014,Lower Pacific Heights,716.3765095625199,380348,3528
2014,Russian Hill,714.2220737504065,380348,3528
2013,Union Square District,1290.472106646641,378401,2971
2013,Golden Gate Heights,956.1841219171134,378401,2971
2013,Yerba Buena,753.0114133184367,378401,2971
2013,Westwood Highlands,747.3335378171587,378401,2971
2013,Cow Hollow,707.4028088888208,378401,2971
2013,Midtown Terrace,703.0815676877947,378401,2971
2013,Marina,655.1980415945777,378401,2971
2013,Telegraph Hill,653.3116166908643,378401,2971
2013,Bernal Heights ,630.8973025513741,378401,2971
2013,Noe Valley,615.0639297056517,378401,2971
2012,Miraloma Park,756.1923725098497,376454,2324
2012,Mission Bay,689.5233123659036,376454,2324
2012,Cow Hollow,644.8183066758802,376454,2324
2012,Financial District South,613.8430658201435,376454,2324
2012,Pacific Heights,586.2182148097696,376454,2324
2012,Lone Mountain,545.9801982412763,376454,2324
2012,Eureka Valley/Dolores Heights,524.8134180834782,376454,2324
2012,North Beach,517.1734931165627,376454,2324
2012,Parnassus/Ashbury Heights,515.9210732061051,376454,2324
2012,Yerba Buena,491.8140030500954,376454,2324
2011,Jordan Park/Laurel Heights,610.7666631577347,374507,1530
2011,Clarendon Heights,520.718167530543,374507,1530
2011,Pacific Heights,509.0214800287398,374507,1530
2011,Mission Bay,506.95217450146765,374507,1530
2011,Potrero Hill,503.13850456030497,374507,1530
2011,Presidio Heights,493.814917282618,374507,1530
2011,Telegraph Hill,483.4057725178001,374507,1530
2011,Bernal Heights ,471.9217320911283,374507,1530
2011,Parnassus/Ashbury Heights,466.6178976523653,374507,1530
2011,Glen Park,457.41388429762526,374507,1530
2010,South Beach,1037.0997886617895,372560,1239
2010,Glen Park,715.5864380979737,372560,1239
2010,Miraloma Park,680.6087291389301,372560,1239
2010,Cow Hollow,569.3799679261333,372560,1239
2010,Union Square District,569.1934475267735,372560,1239
2010,Golden Gate Heights,551.8011188234774,372560,1239
2010,Presidio Heights,549.4179312485746,372560,1239
2010,Sunnyside,542.5316819894505,372560,1239
2010,Telegraph Hill,524.7935090952678,372560,1239
2010,Pacific Heights,496.5160141469498,372560,1239
